facility_name,day_of_week,time_bin,is_school_holiday,n,sum_available,sum_sq_available,full_count
Park&Ride - Ashfield,0,30,False,1.0,207.0,42849.0,0.0
Park&Ride - Ashfield,0,31,False,1.0,200.0,40000.0,0.0
Park&Ride - Ashfield,0,32,False,1.0,190.0,36100.0,0.0
Park&Ride - Ashfield,0,33,False,1.0,184.0,33856.0,0.0
Park&Ride - Ashfield,0,34,False,1.0,172.0,29584.0,0.0
Park&Ride - Ashfield,0,35,False,1.0,171.0,29241.0,0.0
Park&Ride - Ashfield,0,36,False,1.0,158.0,24964.0,0.0
Park&Ride - Ashfield,0,37,False,1.0,145.0,21025.0,0.0
Park&Ride - Ashfield,0,38,False,1.0,126.0,15876.0,0.0
Park&Ride - Ashfield,0,39,False,1.0,111.0,12321.0,0.0
Park&Ride - Ashfield,0,40,False,1.0,96.0,9216.0,0.0
Park&Ride - Ashfield,0,41,False,1.0,84.0,7056.0,0.0
Park&Ride - Ashfield,0,42,False,1.0,61.0,3721.0,0.0
Park&Ride - Ashfield,0,43,False,1.0,38.0,1444.0,0.0
Park&Ride - Ashfield,0,44,False,1.0,19.0,361.0,0.0
Park&Ride - Ashfield,0,45,False,1.0,7.0,49.0,0.0
Park&Ride - Ashfield,0,46,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,47,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,48,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,49,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,50,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,51,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,52,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,53,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,54,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,55,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,56,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,57,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,58,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,59,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,60,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,61,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,62,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,63,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,64,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,65,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,66,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,67,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,68,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,69,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,70,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,71,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,72,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,73,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,74,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,75,False,1.0,0.0,0.0,1.0
Park&Ride - Ashfield,0,76,False,1.0,0.0,0.0,1.0
